epoch,iteration,record_type,scheduler,scale_0.5000,scale_0.7000,scale_0.8000,scale_1.0000,scale_1.1000,scale_1.2000,scale_1.4000,scale_1.5000,scale_1.8000,scale_2.0000,scale_2.3000,scale_2.6000
1,404,epoch_end,adaptive_sr,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
2,807,epoch_end,adaptive_sr,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
3,1210,epoch_end,adaptive_sr,0.07482055097308403,0.08670653026062364,0.08757411905644732,0.09120631530367988,0.0882783376515038,0.08791568102106097,0.08763950265211468,0.0857627377302668,0.08317491450816365,0.0792000891476025,0.07517757046957016,0.07254365122588248
4,1613,epoch_end,adaptive_sr,0.07175174860750244,0.08781710355236454,0.08901282769315055,0.09398143895531073,0.09004069705568278,0.08956833029286568,0.08921878943066634,0.08667038765168578,0.08315574968723335,0.07775989575083805,0.07229929779389528,0.06872373352880437
5,2016,epoch_end,adaptive_sr,0.06924020733024049,0.08858622600469714,0.09005175010664508,0.09610725052584802,0.09140068751092083,0.09086942321589438,0.09051229382483707,0.08745200620752548,0.08327107007601943,0.07671112034115925,0.07007245877950935,0.0657255060767036
6,2419,epoch_end,adaptive_sr,0.0671812887849197,0.0890965798038765,0.09077710649620425,0.09770148095956606,0.09242785280296492,0.0918795533413752,0.09157038379393866,0.08812943211696729,0.08349947694127702,0.07597982988814181,0.06836995574786583,0.06338705932290288
7,2822,epoch_end,adaptive_sr,0.06549406746028237,0.08942019345340844,0.09128390085316136,0.09892960946087084,0.09321932042329373,0.09266621550169016,0.0924189360130217,0.08869784786066771,0.08377770871431202,0.07547036739562292,0.06706334756758718,0.061558485296081496
8,3225,epoch_end,adaptive_sr,0.06413452370363876,0.08965845547029747,0.09166244950104935,0.09987155435384429,0.09382040253623872,0.09326816776526281,0.09308521939184548,0.08915890768611667,0.08405843286154897,0.07510879999048285,0.06605178185263101,0.06012130488704352
9,3628,epoch_end,adaptive_sr,0.06299559446780555,0.08974072306198838,0.09187715966048689,0.10058352163269857,0.09429060670534632,0.09375897609202609,0.09365851106493882,0.08957516754403545,0.08435521117103546,0.07487667391557337,0.06528440515105609,0.05900344953300909
10,4031,epoch_end,adaptive_sr,0.06204923540038082,0.08973215571275463,0.09197994952728042,0.1010971933686885,0.09463335945119164,0.09413188172798066,0.09412565478882884,0.08993745283723055,0.08468145226510654,0.07476125113983735,0.06472201904874506,0.058148394731975084
11,4434,epoch_end,adaptive_sr,0.06127915021706102,0.08969784802551674,0.09205061328775957,0.10153261243772133,0.09492356227253752,0.09443864087447768,0.09449838906206569,0.09022699344494488,0.0849439991211873,0.07467014251512079,0.06427301148557175,0.05746503725603576
12,4837,epoch_end,adaptive_sr,0.06064537694566338,0.08963300568142304,0.09207044331721616,0.10184609143118437,0.09514437022108109,0.09468975503139057,0.09482496628726059,0.09048586456649284,0.08518129544951569,0.07461882432513468,0.06392961573610578,0.05693039100753178
13,5240,epoch_end,adaptive_sr,0.0601353695551922,0.08957481901532224,0.09206138531697583,0.10203039788608435,0.09526933376604656,0.09484873898631555,0.0950681344775369,0.09069932277612833,0.08544437351034492,0.07463572211569741,0.0636973793772451,0.056535023217110625
14,5643,epoch_end,adaptive_sr,0.05974966172651841,0.08957536697675145,0.09211120106005566,0.10225669939392519,0.09541846845313057,0.09500489951991645,0.09525504638115738,0.0908416671531661,0.08556688316272792,0.07457964721443816,0.06346057711378232,0.05617988184443042
15,6046,epoch_end,adaptive_sr,0.059404074186991465,0.0894976101977198,0.09206906556707556,0.10234808908208977,0.09548936278014236,0.09510965207594514,0.0954311573231931,0.09100076196297482,0.08576572639604285,0.07461457394632742,0.0633296205353846,0.05594030594611316
16,6449,epoch_end,adaptive_sr,0.05912141286804662,0.0894223277367946,0.09202221749559163,0.10240835867644761,0.09552404036515126,0.09516242673165724,0.0955391901769069,0.0911179214772741,0.08597502867387011,0.07468225826868344,0.06325398765022752,0.05577082987934906
17,6852,epoch_end,adaptive_sr,0.05888416314853886,0.0893386130589405,0.09196614667514093,0.10244911111582136,0.09555649369522448,0.0952184241975515,0.09564887709565414,0.09122832798487904,0.08614326554854172,0.0747370348161595,0.06319394247751225,0.05563560018603557
18,7255,epoch_end,adaptive_sr,0.0587158479870111,0.08931702042662273,0.09194967392149862,0.10247140856449242,0.09557080270774453,0.09525208719649586,0.09572542826065403,0.0913050603619722,0.08626386141505489,0.07476978351490075,0.06313778994384192,0.05552123569971098
19,7658,epoch_end,adaptive_sr,0.058509826803967484,0.08914900290365751,0.0918165418800422,0.10244011254749488,0.09556903948645251,0.09528775696433382,0.09583253017838582,0.0914259384289234,0.08646354608130319,0.07487764635010069,0.06315272919198116,0.05547532918335738
20,8061,epoch_end,adaptive_sr,0.05836936742354812,0.08906603615181176,0.09174709459461274,0.10241937177962224,0.09555752099168817,0.09529636449140706,0.09588723995682193,0.09149779637176483,0.08661216427878386,0.07495513031208073,0.0631582253897218,0.055433688258136785
21,8464,epoch_end,adaptive_sr,0.05824918982819732,0.08898316652760896,0.0916819298072299,0.10240882408223231,0.09555453784381557,0.09530912378400946,0.09593620676265187,0.09155955013391677,0.08673329743346522,0.07501888878361115,0.06316392074811253,0.055401364265148925
22,8867,epoch_end,adaptive_sr,0.05813455966905823,0.08887782089502372,0.0915860692500785,0.10234654176590766,0.0955238048021696,0.09530893305018368,0.09599319261411618,0.09163548057753511,0.0868833567319586,0.07511195298614227,0.06319930597930086,0.0553989816785256
23,9270,epoch_end,adaptive_sr,0.05803720771153558,0.08878161522386592,0.09149912895483198,0.10229028953234305,0.09550034155648546,0.09531557597856219,0.09605177189161049,0.09170577662866944,0.0870047530175024,0.07518747163057471,0.06322839650387031,0.05539767137014847
24,9673,epoch_end,adaptive_sr,0.057969167027113126,0.08872543628013006,0.09144487584332853,0.10224821747285247,0.0954713563705321,0.09530047523437692,0.09606931782329542,0.09174396571842357,0.08711222915585375,0.0752560832488067,0.06325767727259024,0.05540119855269711
25,10076,epoch_end,adaptive_sr,0.05791363783519405,0.08867817682819595,0.0913972727402558,0.10220620159079181,0.09544043951892595,0.09528077019689393,0.09607807928100359,0.09177421577639645,0.08721132850851478,0.07532135258274726,0.06328871066662473,0.05540981447445564
26,10479,epoch_end,adaptive_sr,0.057877166232733146,0.08865716469918955,0.09137018838879177,0.10217028969532936,0.09541681460332282,0.09526971608899051,0.09609165269240497,0.09179876630337253,0.08727419125906924,0.07536057822076588,0.06330401557403371,0.055409456241996606
27,10882,epoch_end,adaptive_sr,0.05782169514075951,0.0885848180572585,0.09130067228578576,0.10211174058359747,0.09537772200188603,0.09524521199837692,0.09610114710767916,0.0918342714764987,0.08738877425508387,0.07544283075922255,0.06335354972675032,0.05543756660710129
28,11285,epoch_end,adaptive_sr,0.0577581582443132,0.08848647156044294,0.09120575417127168,0.10202860681984752,0.09533041457016303,0.09522366042699937,0.09612807272432866,0.09188659645850818,0.08751953124652971,0.07553956343795136,0.06341584984027279,0.05547732049937143
29,11688,epoch_end,adaptive_sr,0.0577350989901877,0.08846644981825155,0.09118221035284857,0.10199979610710166,0.0953085889675482,0.09520803077173746,0.09612816162598527,0.09189985674868673,0.08757291172720691,0.07557641742899807,0.06343597904288463,0.05548649841856331
30,12091,epoch_end,adaptive_sr,0.05769821372277775,0.08841148856169963,0.0911201247650533,0.10192418963472347,0.09526499221789296,0.09518818685151127,0.09614933163168975,0.09193822953770352,0.08766460507452581,0.07564466340802324,0.06348049631225425,0.05551547828214512
31,12494,epoch_end,adaptive_sr,0.057656210139058424,0.08834112723878593,0.09105446107798454,0.1018714233924376,0.09523482535644899,0.09517353661897493,0.09616497721428355,0.091971711907899,0.08775208545726115,0.07571043723290712,0.06352430312564131,0.0555449012383176
32,12897,epoch_end,adaptive_sr,0.05762927311546649,0.08829891756018271,0.09100404609251907,0.10180427730553485,0.0951938159196865,0.09515151185265458,0.09617695148753466,0.09200068329681618,0.08783188479660708,0.0757708224917731,0.06356504135746498,0.0555727747237597
33,13300,epoch_end,adaptive_sr,0.05758705317608654,0.08822149063199394,0.09092211203188506,0.10171412544119393,0.0951393026129614,0.09512137676230532,0.09619229388247245,0.09204213780928162,0.0879499547315712,0.07586204085131366,0.06362908595366301,0.05561902611527178
34,13703,epoch_end,adaptive_sr,0.05756750671043434,0.08818960415121235,0.09088537441887175,0.10166774679756765,0.09510550938807054,0.09509582498441992,0.09618709810033957,0.09205634380337814,0.08801924720510508,0.07591510480142352,0.06366572665679512,0.05564491298238199
35,14106,epoch_end,adaptive_sr,0.057550857058299744,0.08816195643975476,0.09085905464200948,0.10164545955836264,0.09508726892043799,0.0950795006294491,0.09618032945760428,0.09206388509210832,0.08806714081249141,0.07595158960114438,0.06369066575632404,0.05566229203201394
36,14509,epoch_end,adaptive_sr,0.05754246391536618,0.08815024403161972,0.0908358679737789,0.10159715013648837,0.09505538397507614,0.09505973107991407,0.09618228475644272,0.09207757977152038,0.08811478717370183,0.07598816102206707,0.06371602935045577,0.05568031681356891
37,14912,epoch_end,adaptive_sr,0.05751413764928835,0.08809522645909083,0.09077734976600596,0.10153181319826027,0.09501708344746111,0.0950398923689519,0.09619547925559144,0.0921079130006265,0.08819546664212222,0.07605109587559725,0.06376100667419393,0.05571353566281033
38,15315,epoch_end,adaptive_sr,0.057469878374521915,0.08800559324782463,0.09069734633869131,0.10147478320577111,0.09498877163508154,0.09503014798817412,0.0962189368179645,0.09214767317258832,0.08828429650937958,0.07612066042092903,0.06381107473596875,0.055750837553105254
39,15718,epoch_end,adaptive_sr,0.057474088725840186,0.08801756605914388,0.0906984377466267,0.10145163096633276,0.09496796348242362,0.09501122938889439,0.09620667691458179,0.09214486127105266,0.08830703548448418,0.07613807469953326,0.06382310042785919,0.05575933483322739
40,16121,epoch_end,adaptive_sr,0.057407961514875226,0.08788035816798988,0.09057578331695833,0.1013634680011983,0.09492288287843018,0.09499351376434503,0.09623895146579214,0.0922037916385332,0.08844510209969673,0.07624685821965757,0.0639022494895462,0.05581907944297723
41,16524,epoch_end,adaptive_sr,0.05737239996787212,0.08780721731306199,0.090514249555524,0.10132905446638756,0.09490523641008809,0.09498568771746296,0.09625147725558723,0.0922305625053595,0.08851368839788312,0.0763007575465408,0.06394128561841902,0.05584838324581362
42,16927,epoch_end,adaptive_sr,0.05735613945977295,0.08777444927105046,0.09047837564452077,0.10128665822416363,0.09488347387706758,0.09497856679336963,0.09626720370225715,0.09225281292810145,0.08855630864637697,0.07633418508556003,0.06396541014605811,0.055866416221701264
43,17330,epoch_end,adaptive_sr,0.057300778237095444,0.08765877858299849,0.0904011852733492,0.10129725929337308,0.09490580622393058,0.09500616878160788,0.09630345536205458,0.09228927371125646,0.08859766066164952,0.07636666832146297,0.06398891818747336,0.05588404736374844
44,17733,epoch_end,adaptive_sr,0.05726337484015217,0.08758078553542147,0.0903446951936645,0.10129008761193996,0.09490681579123467,0.09501041248069768,0.09631697709922932,0.09231174650552128,0.08864703512158213,0.07640554671553386,0.06401717457500442,0.05590534853001858
45,18136,epoch_end,adaptive_sr,0.057239621229956544,0.08753142128725346,0.09029816223529713,0.10125058069114828,0.09488423884731856,0.09499859377483363,0.09632572192139491,0.09233319953514597,0.08870541427571492,0.07645158800717967,0.06405072996405102,0.055930728230705926
46,18539,epoch_end,adaptive_sr,0.05722313315716831,0.08749724160075273,0.09026198525870621,0.10121044802171199,0.09485704384992552,0.09497939328359147,0.09632437990251688,0.09234724817295628,0.08876277613041238,0.0764968546620709,0.06408375629069593,0.05595573966949138
47,18942,epoch_end,adaptive_sr,0.057212347639590086,0.0874749774897493,0.09023435301479278,0.10117098009186554,0.0948374661260613,0.09497433327821128,0.09634053070790465,0.09236699433996765,0.08879457273928258,0.07652191692123221,0.06410200339572313,0.05596952425561951
48,19345,epoch_end,adaptive_sr,0.05718538162118832,0.08741843410360596,0.09018520045261005,0.10113911010288495,0.09482244417955793,0.0949699398307583,0.09635511129731915,0.09239088706360606,0.08884644553396398,0.07656288396930697,0.06413193384081695,0.0559922280043812
49,19748,epoch_end,adaptive_sr,0.05714470510807449,0.08733284917816271,0.09011071231257393,0.10109073239728901,0.09479038849592111,0.0949460729576823,0.0963547261945034,0.09241666433691312,0.08894598917341279,0.0766415863526391,0.0641895448970093,0.0560360285958188
50,20151,epoch_end,adaptive_sr,0.057143394578089035,0.08733034567541857,0.0901005204315369,0.1010633634009542,0.09477059668040891,0.09493160535981128,0.09635094628527091,0.09242099453500847,0.08897278189256916,0.07666273658398688,0.06420498493720608,0.056047729639739474
51,20554,epoch_end,adaptive_sr,0.05712164557868856,0.08728461978447957,0.09005967744605549,0.10103406144486823,0.09475448461874819,0.0949235668934358,0.0963587905345278,0.09243919544278272,0.0890211124400336,0.07670093867142357,0.06423293703478267,0.056068970110173706
52,20957,epoch_end,adaptive_sr,0.05708718092909457,0.08721199397765902,0.08999800782970419,0.100997848119057,0.09473823473467471,0.09491968856098268,0.0963771956962947,0.09246872789453336,0.08908415839836915,0.07675079235343495,0.06426944014837756,0.056096731357818175
53,21360,epoch_end,adaptive_sr,0.05707948590456584,0.0871958762475814,0.08998220547994897,0.10098297950435978,0.0947286383809558,0.09491329813073947,0.09637780344181399,0.09247507870130438,0.08910678826080869,0.07676867293316271,0.06428251445948156,0.0561066585552773
54,21763,epoch_end,adaptive_sr,0.05703346224754213,0.08709877492369977,0.08990522304414593,0.10095226916019981,0.09472059535410186,0.09491903422716834,0.09640698485224265,0.09251305647221202,0.0891729400227906,0.0768209955399042,0.06432084197707828,0.05613582217891454
55,22166,epoch_end,adaptive_sr,0.05702234643124192,0.08707538314435408,0.0898727463043623,0.100899702083811,0.09468656683695552,0.09489776301937136,0.09640911806294666,0.09252914940696692,0.08922865302180312,0.07686506248578245,0.06435312313062394,0.05616038607178059
56,22569,epoch_end,adaptive_sr,0.05698932327951218,0.08700570205864448,0.0898129749880301,0.10086305256759427,0.09466672727353859,0.09488770137849507,0.09641952259160534,0.09255450769967206,0.08929738439681922,0.07691943354745287,0.06439296157176,0.056190708646875864
57,22972,epoch_end,adaptive_sr,0.056962588792947286,0.08694928981859662,0.08976785294030774,0.10084397022462982,0.094658529472253,0.09488550081879363,0.0964299249001612,0.09257379528334705,0.08934293056701804,0.07695546179166915,0.06441935768586539,0.056210797704411126
58,23375,epoch_end,adaptive_sr,0.05690326191629743,0.08682402588551405,0.08966884019037,0.10080522603402664,0.09465307708810594,0.09490132326503842,0.0964780833758485,0.0926274573849053,0.08941765815566989,0.07701458207638744,0.06446268339701339,0.05624378123082302
59,23778,epoch_end,adaptive_sr,0.056891379186558205,0.08679896307460114,0.0896451296322947,0.10078483175789132,0.09464291601485449,0.09489798556349303,0.0964861366113629,0.09264004099199709,0.08944394741678158,0.07703537693422306,0.06447791792507404,0.056255374890868445
60,24181,epoch_end,adaptive_sr,0.056870742013706135,0.08675540230923942,0.08960802592990307,0.1007629136475122,0.0946236835460461,0.09487819663865688,0.09647446140251112,0.09264728689913304,0.08950320945513687,0.07708226301628679,0.06451227955365225,0.05628153558821611
61,24584,epoch_end,adaptive_sr,0.056834247044263375,0.0866783415352964,0.08954410954869803,0.10072943361951495,0.09460831670443076,0.09487350775071718,0.09649051774064399,0.0926759909166791,0.0895694289799289,0.07713465531408617,0.06455067871369141,0.05631077213204976
