size_bin,gt_count,baseline_recall_proxy,improved_recall_proxy,recall_proxy_delta,baseline_matched_gt,improved_matched_gt,baseline_matched_pred,improved_matched_pred
"[0, 8)",130,0.023076923076923078,0.16153846153846155,0.13846153846153847,3,21,3,21
"[8, 16)",10627,0.59170038580973,0.7107368024842382,0.11903641667450826,6288,7553,6288,7553
"[16, 32)",10268,0.9034865601869887,0.9123490455784963,0.00886248539150758,9277,9368,9277,9368
"[32, 64)",6650,0.9822556390977444,0.9754887218045113,-0.006766917293233088,6532,6487,6532,6487
"[64, 128)",2784,0.9895833333333334,0.9895833333333334,0.0,2755,2755,2755,2755
"[128, inf)",1499,0.9933288859239493,0.9926617745163442,-0.0006671114076051143,1489,1488,1489,1488
