cascade_set,scaleFactor,minNeighbors,minSize,det,oversize,mean_area_ratio,score
frontalface_default+frontalface_alt2+profileface,1.05,4,20,22.0,1.0,0.005704493812322773,4.0
frontalface_default+frontalface_alt2+profileface,1.05,4,24,22.0,1.0,0.005704493812322773,4.0
frontalface_default,1.05,3,16,16.0,0.0,0.004524826998554017,4.8
frontalface_default,1.05,3,18,16.0,0.0,0.004524826998554017,4.8
frontalface_default,1.05,3,20,16.0,0.0,0.004524826998554017,4.8
frontalface_default,1.05,3,24,16.0,0.0,0.004524826998554017,4.8
frontalface_default,1.07,2,16,16.0,0.0,0.004423543689320388,4.8
frontalface_default,1.07,2,18,16.0,0.0,0.004423543689320388,4.8
frontalface_default,1.07,2,20,16.0,0.0,0.004423543689320388,4.8
frontalface_default,1.07,2,24,16.0,0.0,0.004423543689320388,4.8
frontalface_default,1.08,2,16,16.0,0.0,0.0037520656889072504,4.8
frontalface_default,1.08,2,18,16.0,0.0,0.0037520656889072504,4.8
frontalface_default,1.08,2,20,16.0,0.0,0.0037520656889072504,4.8
frontalface_default,1.08,2,24,16.0,0.0,0.0037520656889072504,4.8
frontalface_default+frontalface_alt2+profileface,1.07,3,16,25.0,0.0,0.0056634166494525925,5.0
frontalface_default+frontalface_alt2+profileface,1.07,3,18,25.0,0.0,0.0056634166494525925,5.0
frontalface_default+frontalface_alt2+profileface,1.07,3,20,25.0,0.0,0.0056634166494525925,5.0
frontalface_default+frontalface_alt2+profileface,1.07,3,24,25.0,0.0,0.0056634166494525925,5.0
frontalface_default+frontalface_alt2+profileface,1.08,2,16,25.0,0.0,0.005480768436273498,5.0
frontalface_default+frontalface_alt2+profileface,1.08,2,18,25.0,0.0,0.005480768436273498,5.0
frontalface_default+frontalface_alt2+profileface,1.08,2,20,25.0,0.0,0.005480768436273498,5.0
frontalface_default+frontalface_alt2+profileface,1.08,2,24,25.0,0.0,0.005480768436273498,5.0
frontalface_default+frontalface_alt2,1.05,4,16,15.0,0.0,0.004158438339186119,5.8
frontalface_default+frontalface_alt2,1.05,4,18,15.0,0.0,0.004158438339186119,5.8
frontalface_default+frontalface_alt2,1.05,4,20,15.0,0.0,0.004158438339186119,5.8
frontalface_default+frontalface_alt2,1.05,4,24,15.0,0.0,0.004158438339186119,5.8
frontalface_default+frontalface_alt2+profileface,1.1,2,16,24.0,1.0,0.0060229463609447085,6.0
frontalface_default+frontalface_alt2+profileface,1.1,2,18,24.0,1.0,0.0060229463609447085,6.0
frontalface_default+frontalface_alt2+profileface,1.1,2,20,24.0,1.0,0.0060229463609447085,6.0
frontalface_default+frontalface_alt2+profileface,1.1,2,24,24.0,1.0,0.0060229463609447085,6.0
frontalface_default+frontalface_alt2,1.08,3,16,14.0,0.0,0.004388777407265323,6.8
frontalface_default+frontalface_alt2,1.08,3,18,14.0,0.0,0.004388777407265323,6.8
frontalface_default+frontalface_alt2,1.08,3,20,14.0,0.0,0.004388777407265323,6.8
frontalface_default+frontalface_alt2,1.08,3,24,14.0,0.0,0.004388777407265323,6.8
frontalface_default+frontalface_alt2,1.1,3,16,14.0,0.0,0.004606633812376428,6.8
frontalface_default+frontalface_alt2,1.1,3,18,14.0,0.0,0.004606633812376428,6.8
frontalface_default+frontalface_alt2,1.1,3,20,14.0,0.0,0.004606633812376428,6.8
frontalface_default+frontalface_alt2,1.1,3,24,14.0,0.0,0.004606633812376428,6.8
frontalface_default+frontalface_alt2+profileface,1.05,3,16,25.0,1.0,0.005862673001445983,7.0
frontalface_default+frontalface_alt2+profileface,1.05,3,18,25.0,1.0,0.005862673001445983,7.0
frontalface_default+frontalface_alt2+profileface,1.05,3,20,25.0,1.0,0.005862673001445983,7.0
frontalface_default+frontalface_alt2+profileface,1.05,3,24,25.0,1.0,0.005862673001445983,7.0
frontalface_default,1.1,2,16,13.0,0.0,0.005373254095625507,7.8
frontalface_default,1.1,2,18,13.0,0.0,0.005373254095625507,7.8
frontalface_default,1.1,2,20,13.0,0.0,0.005373254095625507,7.8
