scaleFactor,minNeighbors,minSize,images,gt,det,tp,fp,fn,precision,recall,f1
1.1,0,20,3222,39112,331374,10405,320969,28707,0.03139956665278507,0.26603088566168953,0.05616946389337249
1.1,1,20,3222,39112,27096,8550,18546,30562,0.3155447298494243,0.218602986295766,0.25827694538424356
1.1,2,20,3222,39112,17202,7741,9461,31371,0.45000581327752587,0.19791879730006137,0.2749227545548176
1.1,3,20,3222,39112,12640,7124,5516,31988,0.5636075949367089,0.18214358764573532,0.27531303138042973
1.1,4,20,3222,39112,10235,6630,3605,32482,0.6477772349780166,0.16951319288197997,0.26870934403307195
1.1,5,20,3222,39112,8702,6217,2485,32895,0.7144334635715928,0.15895377377786868,0.26004935792864015
1.1,6,20,3222,39112,7634,5843,1791,33269,0.7653916688498821,0.14939149110247493,0.24998930389765966
