scaleFactor,minNeighbors,minSize,images,gt,det,tp,fp,fn,precision,recall,f1
1.1,3,16,3222,39112,12640,7124,5516,31988,0.5636075949367089,0.18214358764573532,0.27531303138042973
1.1,3,20,3222,39112,12640,7124,5516,31988,0.5636075949367089,0.18214358764573532,0.27531303138042973
1.1,3,24,3222,39112,12640,7124,5516,31988,0.5636075949367089,0.18214358764573532,0.27531303138042973
1.1,3,28,3222,39112,11480,6388,5092,32724,0.5564459930313589,0.16332583350378402,0.2525300442757748
1.1,3,32,3222,39112,10996,6067,4929,33045,0.5517460894870863,0.15511863366741666,0.242156941007424
