Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx,Math_GFLOPs,C2_GFLOPs,C3_GFLOPs,C4_GFLOPs,C5_GFLOPs
952,"[20, 57, 36, 19]",0.7566952764987945,48,1,20,120,2,57,80,1,36,40,4,19,2.2821376,0.237568,1.1839488,0.441088,0.064832
450,"[15, 45, 49, 0]",0.7567092955112458,32,4,15,96,2,45,104,2,49,8,1,0,2.5023488,0.9158656,0.704512,0.4551168,0.0721536
736,"[48, 34, 4, 48]",0.7567337095737457,104,1,48,72,3,34,16,1,4,104,1,48,2.782784,0.3751936,1.9019776,0.1450496,0.0058624
803,"[22, 10, 17, 36]",0.7567825257778168,48,3,22,24,3,10,40,2,17,80,1,36,2.0399616,1.26976,0.3514368,0.047104,0.01696
897,"[28, 42, 1, 40]",0.7568581640720368,64,1,28,88,3,42,8,2,1,88,1,40,2.273792,0.2768896,1.4299136,0.2095104,0.0027776
735,"[28, 30, 27, 3]",0.7569636285305024,64,1,28,64,3,30,56,4,27,8,4,3,1.9197568,0.2768896,1.0010624,0.264448,0.022656
778,"[33, 28, 52, 57]",0.7569878160953522,72,2,33,64,1,28,112,1,52,120,2,57,2.770688,1.4245888,0.6785024,0.1601536,0.1527424
574,"[9, 49, 25, 59]",0.7570434153079987,24,2,9,104,2,49,56,2,25,120,4,59,1.9437952,0.3186688,0.7274496,0.3663872,0.1765888
256,"[13, 45, 23, 35]",0.7571682214736939,32,2,13,96,2,45,48,4,23,72,4,35,1.9416064,0.4374528,0.704512,0.370176,0.0747648
342,"[48, 11, 55, 39]",0.7572271645069122,104,1,48,24,4,11,112,4,55,80,4,39,2.7375488,0.3751936,1.3053952,0.5401088,0.1621504
722,"[52, 22, 17, 31]",0.7572668969631196,112,1,52,48,3,22,40,2,17,64,4,31,2.6220544,0.3948544,1.7158144,0.0988672,0.0578176
728,"[33, 0, 22, 19]",0.7573132634162902,72,2,33,8,1,0,48,3,22,40,4,19,2.4507392,1.4245888,0.5638144,0.0715264,0.0361088
384,"[23, 5, 18, 25]",0.7573695123195648,48,4,23,16,2,5,40,3,18,56,2,25,2.5124224,1.785856,0.28672,0.0591872,0.0259584
817,"[26, 6, 7, 12]",0.7573695659637452,56,3,26,16,3,6,16,4,7,32,1,12,2.4191104,1.6449536,0.3938304,0.022528,0.0030976
733,"[40, 40, 38, 23]",0.7575606048107147,88,1,40,88,1,40,80,3,38,48,4,23,2.218688,0.335872,1.0295296,0.4255232,0.0730624
445,"[25, 52, 4, 5]",0.7575840651988983,56,2,25,112,1,52,16,1,4,16,2,5,2.16672,0.9510912,0.5175296,0.3398656,0.0035328
737,"[11, 45, 29, 44]",0.7576142013072967,24,4,11,96,2,45,64,2,29,96,1,44,1.9690368,0.5988352,0.6371328,0.3401728,0.0381952
220,"[40, 29, 53, 32]",0.7576384782791138,88,1,40,64,2,29,112,2,53,72,1,32,2.3084672,0.335872,1.195008,0.327168,0.0957184
982,"[33, 7, 9, 40]",0.7577133059501648,72,2,33,16,4,7,24,2,9,88,1,40,2.4383232,1.4245888,0.6305792,0.0199168,0.0085376
8,"[29, 16, 8, 13]",0.7577483534812928,64,2,29,40,1,16,24,1,8,32,2,13,2.0973824,1.1747328,0.507904,0.0506368,0.009408
207,"[13, 39, 10, 28]",0.7578291654586792,32,2,13,80,4,39,24,3,10,64,1,28,2.231424,0.4374528,1.2324864,0.1994752,0.0073088
580,"[20, 45, 27, 47]",0.7578850567340851,48,1,20,96,2,45,56,4,27,96,4,47,2.0030208,0.237568,0.878592,0.408832,0.123328
328,"[7, 38, 50, 59]",0.7579287052154541,16,4,7,80,3,38,104,3,50,120,4,59,2.2379648,0.360448,0.7712768,0.5158912,0.235648
904,"[48, 56, 22, 51]",0.7579701900482178,104,1,48,120,1,56,48,3,22,104,4,51,2.8179456,0.3751936,1.475584,0.4793856,0.1330816
696,"[24, 50, 36, 18]",0.7581516921520233,56,1,24,104,3,50,80,1,36,40,3,18,2.6711936,0.2572288,1.659904,0.340224,0.059136
765,"[36, 52, 57, 27]",0.7582760572433471,80,1,36,112,1,52,120,2,57,56,4,27,2.3458688,0.3162112,0.9261056,0.6109696,0.1378816
948,"[36, 53, 23, 5]",0.758331936597824,80,1,36,112,2,53,48,4,23,16,2,5,2.7442048,0.3162112,1.5941632,0.4612096,0.01792
231,"[11, 27, 54, 18]",0.7583405196666717,24,4,11,56,4,27,112,3,54,40,3,18,2.1486976,0.5988352,0.630784,0.4634112,0.1009664
458,"[11, 50, 18, 3]",0.7584233045578003,24,4,11,104,3,50,40,3,18,8,4,3,2.6282368,0.5988352,1.3051904,0.35712,0.0123904
440,"[29, 4, 53, 4]",0.7584505915641785,64,2,29,16,1,4,112,2,53,16,1,4,2.26976,1.1747328,0.4636672,0.1916928,0.0849664
670,"[18, 25, 17, 20]",0.7585052788257599,40,3,18,56,2,25,40,2,17,48,1,20,1.854208,0.9469952,0.4153344,0.1226752,0.0145024
68,"[32, 48, 45, 52]",0.7585505902767181,72,1,32,104,1,48,96,2,45,112,1,52,1.9658624,0.2965504,0.7604224,0.4751872,0.0790016
173,"[48, 12, 7, 35]",0.758656769990921,104,1,48,32,1,12,16,4,7,72,4,35,2.055424,0.3751936,1.2232704,0.0447488,0.0575104
