Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
454,"[37, 2, 12, 33]",1.1504284584963764,80,2,37,8,3,2,32,1,12,72,2,33
843,"[36, 30, 1, 40]",1.1512197778548723,80,1,36,64,3,30,8,2,1,88,1,40
943,"[48, 6, 8, 35]",1.1514472048959614,104,1,48,16,3,6,24,1,8,72,4,35
247,"[22, 25, 56, 24]",1.1517023473610113,48,3,22,56,2,25,120,1,56,56,1,24
495,"[10, 38, 36, 32]",1.1523490761533195,24,3,10,80,3,38,80,1,36,72,1,32
940,"[19, 15, 40, 32]",1.1524011691411336,40,4,19,32,4,15,88,1,40,72,1,32
723,"[17, 45, 56, 48]",1.1527450570353754,40,2,17,96,2,45,120,1,56,104,1,48
890,"[48, 14, 0, 21]",1.1528423987788918,104,1,48,32,3,14,8,1,0,48,2,21
264,"[25, 52, 48, 5]",1.153129878603382,56,2,25,112,1,52,104,1,48,16,2,5
463,"[0, 47, 36, 19]",1.1533869644741954,8,1,0,96,4,47,80,1,36,40,4,19
277,"[7, 53, 4, 57]",1.1535462074809604,16,4,7,112,2,53,16,1,4,120,2,57
648,"[2, 42, 50, 12]",1.1540251344810297,8,3,2,88,3,42,104,3,50,32,1,12
365,"[29, 1, 2, 34]",1.1542907725145788,64,2,29,8,2,1,8,3,2,72,3,34
700,"[23, 2, 1, 37]",1.154783112767302,48,4,23,8,3,2,8,2,1,80,2,37
594,"[19, 5, 37, 8]",1.1569001534838734,40,4,19,16,2,5,80,2,37,24,1,8
315,"[22, 12, 8, 41]",1.1570864231498152,48,3,22,32,1,12,24,1,8,88,2,41
227,"[22, 15, 12, 20]",1.1572251496491608,48,3,22,32,4,15,32,1,12,48,1,20
874,"[56, 0, 38, 38]",1.1573643338533095,120,1,56,8,1,0,80,3,38,80,3,38
864,"[18, 36, 44, 3]",1.1573976116415896,40,3,18,80,1,36,96,1,44,8,4,3
38,"[33, 12, 1, 17]",1.1578099779140802,72,2,33,32,1,12,8,2,1,40,2,17
739,"[48, 33, 5, 24]",1.1588332211529766,104,1,48,72,2,33,16,2,5,56,1,24
262,"[52, 8, 56, 59]",1.1589944222827016,112,1,52,24,1,8,120,1,56,120,4,59
77,"[15, 19, 52, 20]",1.1598426361142853,32,4,15,40,4,19,112,1,52,48,1,20
509,"[29, 52, 9, 28]",1.1609424580762415,64,2,29,112,1,52,24,2,9,64,1,28
795,"[24, 46, 4, 36]",1.1620811076811801,56,1,24,96,3,46,16,1,4,80,1,36
171,"[0, 47, 45, 21]",1.1622738676306643,8,1,0,96,4,47,96,2,45,48,2,21
727,"[2, 54, 6, 7]",1.1626368216526362,8,3,2,112,3,54,16,3,6,16,4,7
398,"[48, 36, 40, 45]",1.1627220187658145,104,1,48,80,1,36,88,1,40,96,2,45
788,"[9, 42, 28, 12]",1.163444741272632,24,2,9,88,3,42,64,1,28,32,1,12
424,"[19, 12, 2, 7]",1.1637304108819844,40,4,19,32,1,12,8,3,2,16,4,7
830,"[3, 54, 56, 41]",1.1637953762654905,8,4,3,112,3,54,120,1,56,88,2,41
810,"[18, 38, 0, 12]",1.1644472810957167,40,3,18,80,3,38,8,1,0,32,1,12
647,"[52, 24, 18, 36]",1.1658081066461257,112,1,52,56,1,24,40,3,18,80,1,36
178,"[19, 1, 56, 11]",1.1659069156941073,40,4,19,8,2,1,120,1,56,24,4,11
744,"[0, 43, 14, 33]",1.1662067807750938,8,1,0,88,4,43,32,3,14,72,2,33
724,"[21, 37, 16, 16]",1.166462723855619,48,2,21,80,2,37,40,1,16,40,1,16
523,"[1, 50, 40, 53]",1.1670424430458635,8,2,1,104,3,50,88,1,40,112,2,53
225,"[44, 56, 5, 41]",1.1674108762799957,96,1,44,120,1,56,16,2,5,88,2,41
949,"[21, 37, 20, 12]",1.1676182864624778,48,2,21,80,2,37,48,1,20,32,1,12
659,"[22, 25, 32, 8]",1.1680740427087855,48,3,22,56,2,25,72,1,32,24,1,8
393,"[25, 21, 36, 40]",1.169146763689724,56,2,25,48,2,21,80,1,36,88,1,40
17,"[52, 22, 1, 44]",1.1698842497519504,112,1,52,48,3,22,8,2,1,96,1,44
214,"[33, 2, 6, 2]",1.1699495528951103,72,2,33,8,3,2,16,3,6,8,3,2
411,"[0, 43, 31, 52]",1.1713269227816734,8,1,0,88,4,43,64,4,31,112,1,52
895,"[52, 2, 59, 56]",1.1714658913788971,112,1,52,8,3,2,120,4,59,120,1,56
590,"[26, 32, 24, 1]",1.1717736882927976,56,3,26,72,1,32,56,1,24,8,2,1
858,"[1, 46, 23, 40]",1.172171934887215,8,2,1,96,3,46,48,4,23,88,1,40
72,"[6, 43, 20, 36]",1.1722124601587838,16,3,6,88,4,43,48,1,20,80,1,36
681,"[40, 28, 57, 40]",1.1731268307309093,88,1,40,64,1,28,120,2,57,88,1,40
78,"[25, 52, 2, 2]",1.1733942841306144,56,2,25,112,1,52,8,3,2,8,3,2
804,"[19, 5, 24, 9]",1.1747565004560683,40,4,19,16,2,5,56,1,24,24,2,9
6,"[52, 1, 22, 33]",1.1761880303606576,112,1,52,8,2,1,48,3,22,72,2,33
925,"[48, 1, 23, 13]",1.1767899165918798,104,1,48,8,2,1,48,4,23,32,2,13
22,"[29, 24, 0, 33]",1.1770842693470143,64,2,29,56,1,24,8,1,0,72,2,33
62,"[1, 50, 0, 27]",1.1773041273340767,8,2,1,104,3,50,8,1,0,56,4,27
532,"[5, 43, 1, 40]",1.1781791507461925,16,2,5,88,4,43,8,2,1,88,1,40
390,"[40, 0, 47, 13]",1.1782479492234594,88,1,40,8,1,0,96,4,47,32,2,13
922,"[1, 43, 12, 7]",1.1786550173053034,8,2,1,88,4,43,32,1,12,16,4,7
687,"[56, 18, 32, 48]",1.179265057599103,120,1,56,40,3,18,72,1,32,104,1,48
335,"[52, 13, 20, 3]",1.1793278006859769,112,1,52,32,2,13,48,1,20,8,4,3
956,"[0, 43, 53, 3]",1.1794052874600445,8,1,0,88,4,43,112,2,53,8,4,3
730,"[14, 34, 20, 0]",1.1799455756022605,32,3,14,72,3,34,48,1,20,8,1,0
427,"[52, 36, 29, 16]",1.180874972431748,112,1,52,80,1,36,64,2,29,40,1,16
850,"[36, 41, 1, 48]",1.1829998404891402,80,1,36,88,2,41,8,2,1,104,1,48
434,"[48, 2, 35, 20]",1.1836214624805215,104,1,48,8,3,2,72,4,35,48,1,20
787,"[52, 5, 5, 22]",1.1836946739090815,112,1,52,16,2,5,16,2,5,48,3,22
113,"[22, 17, 12, 32]",1.1840437172371665,48,3,22,40,2,17,32,1,12,72,1,32
65,"[19, 0, 40, 53]",1.1842947241700725,40,4,19,8,1,0,88,1,40,112,2,53
149,"[52, 16, 48, 49]",1.1853443752100439,112,1,52,40,1,16,104,1,48,104,2,49
108,"[3, 47, 3, 57]",1.185407105051441,8,4,3,96,4,47,8,4,3,120,2,57
152,"[22, 3, 32, 3]",1.1884155913635537,48,3,22,8,4,3,72,1,32,8,4,3
70,"[8, 39, 16, 36]",1.189260482788086,24,1,8,80,4,39,40,1,16,80,1,36
42,"[56, 16, 52, 49]",1.1894136880650932,120,1,56,40,1,16,112,1,52,104,2,49
546,"[48, 7, 53, 52]",1.1921611200144262,104,1,48,16,4,7,112,2,53,112,1,52
196,"[23, 44, 3, 16]",1.192822089165817,48,4,23,96,1,44,8,4,3,40,1,16
729,"[33, 0, 33, 28]",1.1943113502161002,72,2,33,8,1,0,72,2,33,64,1,28
465,"[11, 45, 56, 20]",1.1953396870766158,24,4,11,96,2,45,120,1,56,48,1,20
701,"[48, 7, 0, 19]",1.1955765301798598,104,1,48,16,4,7,8,1,0,40,4,19
400,"[25, 25, 12, 4]",1.1958491655043613,56,2,25,56,2,25,32,1,12,16,1,4
562,"[20, 45, 52, 52]",1.197007179260254,48,1,20,96,2,45,112,1,52,112,1,52
372,"[52, 6, 53, 12]",1.2025291397247786,112,1,52,16,3,6,112,2,53,32,1,12
825,"[2, 57, 42, 0]",1.2041014212149161,8,3,2,120,2,57,88,3,42,8,1,0
