Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
835,"[56, 18, 7, 45]",0.739562314748764,120,1,56,40,3,18,16,4,7,96,2,45
98,"[19, 40, 54, 18]",0.7396508991718292,40,4,19,88,1,40,112,3,54,40,3,18
776,"[19, 4, 57, 23]",0.7396714091300964,40,4,19,16,1,4,120,2,57,48,4,23
963,"[36, 22, 38, 15]",0.7397209346294403,80,1,36,48,3,22,80,3,38,32,4,15
888,"[40, 48, 39, 53]",0.7398559868335723,88,1,40,104,1,48,80,4,39,112,2,53
705,"[48, 17, 19, 23]",0.7399770081043243,104,1,48,40,2,17,40,4,19,48,4,23
375,"[40, 56, 19, 43]",0.7400681257247925,88,1,40,120,1,56,40,4,19,88,4,43
306,"[23, 3, 57, 6]",0.7400928795337677,48,4,23,8,4,3,120,2,57,16,3,6
162,"[29, 3, 45, 46]",0.74037464261055,64,2,29,8,4,3,96,2,45,96,3,46
875,"[11, 45, 57, 25]",0.7404446721076965,24,4,11,96,2,45,120,2,57,56,2,25
36,"[32, 44, 34, 23]",0.7405727803707123,72,1,32,96,1,44,72,3,34,48,4,23
181,"[26, 28, 2, 10]",0.740638256072998,56,3,26,64,1,28,8,3,2,24,3,10
527,"[32, 30, 47, 10]",0.7409489631652832,72,1,32,64,3,30,96,4,47,24,3,10
522,"[17, 39, 38, 36]",0.7409730136394501,40,2,17,80,4,39,80,3,38,80,1,36
274,"[32, 31, 3, 40]",0.7412589490413666,72,1,32,64,4,31,8,4,3,88,1,40
90,"[26, 7, 49, 4]",0.7412720799446106,56,3,26,16,4,7,104,2,49,16,1,4
841,"[32, 41, 21, 17]",0.7412986874580383,72,1,32,88,2,41,48,2,21,40,2,17
707,"[19, 3, 46, 38]",0.7413612842559815,40,4,19,8,4,3,96,3,46,80,3,38
804,"[33, 6, 26, 39]",0.7416527926921844,72,2,33,16,3,6,56,3,26,80,4,39
414,"[36, 49, 25, 10]",0.7416809618473053,80,1,36,104,2,49,56,2,25,24,3,10
554,"[33, 32, 30, 36]",0.7417755126953125,72,2,33,72,1,32,64,3,30,80,1,36
695,"[25, 9, 49, 55]",0.7418156504631043,56,2,25,24,2,9,104,2,49,112,4,55
311,"[23, 0, 13, 22]",0.7419063806533813,48,4,23,8,1,0,32,2,13,48,3,22
889,"[24, 38, 15, 15]",0.741912442445755,56,1,24,80,3,38,32,4,15,32,4,15
473,"[15, 52, 40, 35]",0.7419168293476105,32,4,15,112,1,52,88,1,40,72,4,35
268,"[16, 47, 4, 4]",0.7419196128845215,40,1,16,96,4,47,16,1,4,16,1,4
808,"[56, 25, 13, 18]",0.7421169817447663,120,1,56,56,2,25,32,2,13,40,3,18
152,"[19, 23, 33, 3]",0.7421632468700409,40,4,19,48,4,23,72,2,33,8,4,3
674,"[32, 52, 43, 31]",0.7422033011913299,72,1,32,112,1,52,88,4,43,64,4,31
291,"[29, 10, 58, 17]",0.7422109603881836,64,2,29,24,3,10,120,3,58,40,2,17
775,"[24, 49, 18, 59]",0.7423639059066772,56,1,24,104,2,49,40,3,18,120,4,59
545,"[44, 41, 49, 30]",0.7423845767974854,96,1,44,88,2,41,104,2,49,64,3,30
157,"[21, 44, 48, 19]",0.7425164222717285,48,2,21,96,1,44,104,1,48,40,4,19
979,"[32, 53, 4, 49]",0.7425648093223571,72,1,32,112,2,53,16,1,4,104,2,49
478,"[11, 43, 1, 47]",0.7428259015083313,24,4,11,88,4,43,8,2,1,96,4,47
792,"[24, 31, 46, 55]",0.7428297698497772,56,1,24,64,4,31,96,3,46,112,4,55
649,"[10, 46, 56, 23]",0.7428336024284363,24,3,10,96,3,46,120,1,56,48,4,23
640,"[11, 38, 1, 31]",0.7429639637470246,24,4,11,80,3,38,8,2,1,64,4,31
119,"[44, 41, 8, 2]",0.7430290162563324,96,1,44,88,2,41,24,1,8,8,3,2
985,"[16, 53, 6, 47]",0.7430624902248383,40,1,16,112,2,53,16,3,6,96,4,47
14,"[15, 29, 41, 8]",0.7431256651878357,32,4,15,64,2,29,88,2,41,24,1,8
424,"[24, 31, 55, 6]",0.7432779788970947,56,1,24,64,4,31,112,4,55,16,3,6
287,"[10, 43, 27, 50]",0.7436929225921631,24,3,10,88,4,43,56,4,27,104,3,50
481,"[17, 50, 7, 52]",0.7437180995941162,40,2,17,104,3,50,16,4,7,112,1,52
271,"[17, 43, 44, 16]",0.7438382983207703,40,2,17,88,4,43,96,1,44,40,1,16
500,"[10, 43, 21, 19]",0.7438474833965302,24,3,10,88,4,43,48,2,21,40,4,19
56,"[13, 35, 10, 58]",0.7439392268657684,32,2,13,72,4,35,24,3,10,120,3,58
682,"[28, 29, 39, 31]",0.744094067811966,64,1,28,64,2,29,80,4,39,64,4,31
329,"[19, 1, 31, 3]",0.7442341566085815,40,4,19,8,2,1,64,4,31,8,4,3
930,"[56, 17, 4, 45]",0.7442439317703247,120,1,56,40,2,17,16,1,4,96,2,45
393,"[25, 19, 59, 52]",0.7443301856517792,56,2,25,40,4,19,120,4,59,112,1,52
227,"[32, 41, 31, 38]",0.7444619119167328,72,1,32,88,2,41,64,4,31,80,3,38
541,"[44, 23, 40, 22]",0.7444844961166381,96,1,44,48,4,23,88,1,40,48,3,22
205,"[33, 5, 53, 54]",0.7446447134017944,72,2,33,16,2,5,112,2,53,112,3,54
419,"[25, 1, 39, 0]",0.7447554767131805,56,2,25,8,2,1,80,4,39,8,1,0
729,"[19, 56, 37, 48]",0.7448735475540161,40,4,19,120,1,56,80,2,37,104,1,48
731,"[33, 10, 20, 49]",0.7449834942817688,72,2,33,24,3,10,48,1,20,104,2,49
892,"[24, 46, 53, 54]",0.7451061248779297,56,1,24,96,3,46,112,2,53,112,3,54
158,"[10, 57, 22, 21]",0.7453587353229523,24,3,10,120,2,57,48,3,22,48,2,21
347,"[36, 41, 13, 10]",0.7453630149364472,80,1,36,88,2,41,32,2,13,24,3,10
196,"[33, 9, 28, 2]",0.7454214930534363,72,2,33,24,2,9,64,1,28,8,3,2
326,"[21, 22, 5, 58]",0.7454409778118134,48,2,21,48,3,22,16,2,5,120,3,58
299,"[25, 22, 58, 11]",0.7455011487007142,56,2,25,48,3,22,120,3,58,24,4,11
371,"[15, 20, 54, 1]",0.7455424547195435,32,4,15,48,1,20,112,3,54,8,2,1
38,"[52, 23, 4, 21]",0.745774906873703,112,1,52,48,4,23,16,1,4,48,2,21
67,"[36, 49, 22, 33]",0.7457904696464539,80,1,36,104,2,49,48,3,22,72,2,33
762,"[23, 1, 11, 11]",0.7457950949668884,48,4,23,8,2,1,24,4,11,24,4,11
941,"[11, 50, 32, 14]",0.7458799421787262,24,4,11,104,3,50,72,1,32,32,3,14
608,"[22, 1, 1, 15]",0.7462362408638,48,3,22,8,2,1,8,2,1,32,4,15
506,"[11, 34, 57, 10]",0.7463154077529908,24,4,11,72,3,34,120,2,57,24,3,10
996,"[16, 42, 35, 10]",0.7463312089443207,40,1,16,88,3,42,72,4,35,24,3,10
134,"[44, 29, 51, 34]",0.7463817954063415,96,1,44,64,2,29,104,4,51,72,3,34
433,"[12, 38, 45, 50]",0.746516901254654,32,1,12,80,3,38,96,2,45,104,3,50
11,"[44, 17, 52, 3]",0.7466283500194549,96,1,44,40,2,17,112,1,52,8,4,3
825,"[24, 46, 48, 22]",0.7467094004154206,56,1,24,96,3,46,104,1,48,48,3,22
758,"[19, 26, 12, 14]",0.7468140363693238,40,4,19,56,3,26,32,1,12,32,3,14
739,"[40, 27, 9, 45]",0.7468286275863647,88,1,40,56,4,27,24,2,9,96,2,45
200,"[44, 17, 7, 18]",0.7469083309173584,96,1,44,40,2,17,16,4,7,40,3,18
619,"[16, 46, 20, 46]",0.7469117701053619,40,1,16,96,3,46,48,1,20,96,3,46
327,"[44, 14, 16, 19]",0.7470198631286621,96,1,44,32,3,14,40,1,16,40,4,19
902,"[18, 40, 48, 2]",0.7470591545104981,40,3,18,88,1,40,104,1,48,8,3,2
136,"[15, 26, 20, 25]",0.7472721338272095,32,4,15,56,3,26,48,1,20,56,2,25
911,"[20, 39, 44, 8]",0.7473270237445832,48,1,20,80,4,39,96,1,44,24,1,8
333,"[16, 49, 53, 14]",0.7473964333534241,40,1,16,104,2,49,112,2,53,32,3,14
632,"[21, 26, 9, 8]",0.7473983645439148,48,2,21,56,3,26,24,2,9,24,1,8
499,"[29, 21, 2, 28]",0.7474556803703308,64,2,29,48,2,21,8,3,2,64,1,28
91,"[15, 25, 46, 20]",0.7474570572376251,32,4,15,56,2,25,96,3,46,48,1,20
122,"[25, 36, 6, 5]",0.7474920928478241,56,2,25,80,1,36,16,3,6,16,2,5
70,"[25, 24, 20, 38]",0.7477033376693726,56,2,25,56,1,24,48,1,20,80,3,38
939,"[14, 41, 23, 13]",0.747852212190628,32,3,14,88,2,41,48,4,23,32,2,13
971,"[36, 45, 1, 3]",0.7479211509227752,80,1,36,96,2,45,8,2,1,8,4,3
155,"[7, 47, 14, 54]",0.7479267120361328,16,4,7,96,4,47,32,3,14,112,3,54
247,"[20, 46, 39, 47]",0.7481995403766633,48,1,20,96,3,46,80,4,39,96,4,47
789,"[20, 46, 27, 59]",0.748229694366455,48,1,20,96,3,46,56,4,27,120,4,59
938,"[52, 18, 41, 31]",0.7482774198055268,112,1,52,40,3,18,88,2,41,64,4,31
194,"[15, 49, 52, 21]",0.7483322620391846,32,4,15,104,2,49,112,1,52,48,2,21
773,"[48, 17, 4, 18]",0.7485473275184631,104,1,48,40,2,17,16,1,4,40,3,18
451,"[32, 39, 25, 9]",0.7485491275787354,72,1,32,80,4,39,56,2,25,24,2,9
774,"[17, 50, 2, 57]",0.7486257791519165,40,2,17,104,3,50,8,3,2,120,2,57
753,"[20, 53, 6, 19]",0.7486680448055267,48,1,20,112,2,53,16,3,6,40,4,19
294,"[19, 44, 20, 59]",0.748757129907608,40,4,19,96,1,44,48,1,20,120,4,59
26,"[56, 25, 5, 53]",0.7488398313522339,120,1,56,56,2,25,16,2,5,112,2,53
255,"[23, 21, 12, 3]",0.7488979756832123,48,4,23,48,2,21,32,1,12,8,4,3
965,"[19, 19, 9, 37]",0.7489484965801239,40,4,19,40,4,19,24,2,9,80,2,37
