size_bin,gt_count,baseline_recall_proxy,improved_recall_proxy,recall_proxy_delta,baseline_matched_gt,improved_matched_gt,baseline_matched_pred,improved_matched_pred
"[0, 8)",130,0.06153846153846154,0.16923076923076924,0.1076923076923077,8,22,8,22
"[8, 16)",10627,0.616354568551802,0.720334995765503,0.10398042721370093,6550,7655,6550,7655
"[16, 32)",10268,0.9085508375535645,0.9117647058823529,0.0032138683287884495,9329,9362,9329,9362
"[32, 64)",6650,0.98796992481203,0.9766917293233083,-0.011278195488721776,6570,6495,6570,6495
"[64, 128)",2784,0.9917385057471264,0.9885057471264368,-0.003232758620689613,2761,2752,2761,2752
"[128, inf)",1499,0.9939959973315544,0.9906604402935291,-0.0033355570380253496,1490,1485,1490,1485
