epoch,iteration,record_type,scheduler,scale_0.3500,scale_0.4500,scale_0.6000,scale_0.8000,scale_1.0000,scale_1.2000,scale_1.4000,scale_1.6000,scale_1.8000,scale_2.0000
1,404,epoch_end,adaptive_sr,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,807,epoch_end,adaptive_sr,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,1210,epoch_end,adaptive_sr,0.08153556974820238,0.08657380911166704,0.09711300645501342,0.10746044228420171,0.11256196699139637,0.1078588598918071,0.10738292607261288,0.10290947047614055,0.10104078418470083,0.09556316478425783
4,1613,epoch_end,adaptive_sr,0.07494452561230591,0.08175475563595523,0.09600067628301742,0.10999658005160856,0.11692351347499998,0.11065645315729614,0.1100774761998054,0.10403623543165275,0.10152993043649707,0.09407985371686163
5,2016,epoch_end,adaptive_sr,0.06961269379905718,0.07779638667473929,0.09491537368428861,0.11177270338919537,0.12021469109912389,0.1128590020959454,0.1123130637098553,0.10513550322278108,0.10223729951674179,0.09314328280827217
6,2419,epoch_end,adaptive_sr,0.06531653237435668,0.07457603479177222,0.09394544466657956,0.11307058178342651,0.12277240564582725,0.11459645295556405,0.11412009684913008,0.10610819816382998,0.10296901808606693,0.09252523468344682
7,2822,epoch_end,adaptive_sr,0.06188956251436495,0.07201716215551193,0.09320249368351866,0.11412704562675569,0.12477246500744078,0.11595320248543681,0.11554425542528511,0.10688378845893876,0.10356825780762101,0.09204176683512633
8,3225,epoch_end,adaptive_sr,0.05912767744960004,0.0699345635054267,0.09254085443224222,0.1148719618063498,0.12626137959524955,0.11700548443428081,0.11670716752206452,0.10758900479148079,0.10419238846891286,0.09176951799439273
9,3628,epoch_end,adaptive_sr,0.056884061718526016,0.06820886419393121,0.09189855409398326,0.11533531638771549,0.1273819822675161,0.11785266893513438,0.11769362562059879,0.1082502794515314,0.10483194960089953,0.0916626977301638
10,4031,epoch_end,adaptive_sr,0.05510339689029067,0.06685317493342546,0.09143184629134193,0.11575133898342539,0.12827558056673627,0.11850919430593125,0.11845214878533182,0.10875148944338904,0.10531623768321792,0.09155559211691035
11,4434,epoch_end,adaptive_sr,0.053679581621643116,0.06576987613476051,0.09106085391897158,0.11609369148439128,0.12901401628473075,0.11902971694191347,0.11903984916682418,0.10914273520921869,0.10570149283804857,0.09146818639949775
12,4837,epoch_end,adaptive_sr,0.052511205245135015,0.06485197831686434,0.09066691750287605,0.11625419674069098,0.12954603444786922,0.11945751968856044,0.11956606282327671,0.10953814572676007,0.10612133972901017,0.09148659977895697
13,5240,epoch_end,adaptive_sr,0.05156532935393793,0.06409812647457626,0.09031474950292304,0.11632948754995938,0.129917201228189,0.11978056665845939,0.11999511156212359,0.10989874744061123,0.10653656522144823,0.09156411500777194
14,5643,epoch_end,adaptive_sr,0.05081376852492371,0.06350402954320747,0.09005004206101994,0.11639876353532508,0.1301895063522356,0.12000015549864282,0.1202994357281591,0.1101874313675134,0.10690335518549342,0.09165351220347945
15,6046,epoch_end,adaptive_sr,0.05018607100894378,0.06298251927313729,0.08975065866092437,0.11633398071480833,0.130296222567774,0.12015074551199995,0.12057891443442481,0.11051563260322515,0.10735502148351614,0.09185023374124615
