orig_bin,tiny,small,medium,large
tiny,0.9191626873839385,0.07803395523153359,0.0028033573845280403,0.0
small,0.49949875009660866,0.39807131347411584,0.1022650001685612,0.00016493626071427316
medium,0.07528574853464497,0.3778929460884891,0.5095440993032653,0.03727720607360058
large,0.0,0.016850421012394503,0.4489203312488395,0.534229247738766
