distribution,mean,p10,p25,p50,p75,p90,promote_tiny_to_ge16_ratio,promote_lt32_to_ge32_ratio,bin_tiny,bin_small,bin_medium,bin_large
original,32.7579635072197,7.0,10.392304845413264,17.435595774162696,33.46640106136302,65.72670690061993,,,0.46217838926427135,0.27370712641082107,0.20551718080467773,0.05859730352022987
baseline_sr,25.115978321803674,4.091962040768112,6.8128592718756655,12.972913522442484,26.450501389922678,53.343862439984534,0.0920492389278021,0.04637310484959562,0.5815960132084411,0.21910466582597837,0.15943454229483167,0.03986477867074892
asr_jsar,25.0451460623491,4.284988454294101,7.042952122737639,13.176156917368246,26.516764372223296,52.8925235512454,0.08075266687168142,0.03981726638894317,0.5771929516984246,0.223600161112138,0.16022270261058857,0.038984184578848835
