orig_bin,tiny,small,medium,large
tiny,0.9079507610721971,0.08844410055926659,0.0036051383685363494,0.0
small,0.5203180751980817,0.3610913730793606,0.11837470679472246,0.00021584492783521025
medium,0.09510653886073679,0.3797596515863806,0.4801880456682339,0.04494576388464872
large,0.0,0.02299250535331919,0.45533547466095425,0.5216720199857264
