orig_bin,tiny,small,medium,large
tiny,0.8541218605225858,0.12581411065423817,0.020004193184075925,5.983563910018823e-05
small,0.44286803217302684,0.3738704103284623,0.18160945379634685,0.0016521037021640541
medium,0.032886311732633206,0.3603263920442121,0.5142598875771961,0.09252740864595864
large,0.0,0.002321087109974893,0.4041291329126682,0.5935497799773569
