distribution,mean,p10,p25,p50,p75,p90,promote_tiny_to_ge16_ratio,promote_lt32_to_ge32_ratio,bin_tiny,bin_small,bin_medium,bin_large
original,32.7579635072197,7.0,10.392304845413264,17.435595774162696,33.46640106136302,65.72670690061993,,,0.46217838926427135,0.27370712641082107,0.20551718080467773,0.05859730352022987
baseline_sr,35.851175174711656,4.968547063032095,8.505172717997146,17.116329922036442,36.78293993176597,77.43662373847583,0.22280637454525637,0.13338079202011974,0.4754167372469313,0.235535437566268,0.2152560024593279,0.07379182272747281
asr_jsar,29.978471344593437,4.771012410379213,7.892004626469847,15.089847375818064,31.165260810610995,63.68314370580691,0.14587813947741135,0.08076413184136771,0.5227315042713845,0.23466883237825473,0.1883234272704299,0.05427623607993109
